0.185kg - 2024-11-12 10:30:15.67
0.185kg - 2024-11-12 10:30:15.72
0.185kg - 2024-11-12 10:30:15.75
0.185kg - 2024-11-12 10:30:15.80
0.185kg - 2024-11-12 10:30:15.84
0.185kg - 2024-11-12 10:30:15.88
0.185kg - 2024-11-12 10:30:15.92
0.185kg - 2024-11-12 10:30:15.97
0.185kg - 2024-11-12 10:30:16.01
0.185kg - 2024-11-12 10:30:16.05
0.185kg - 2024-11-12 10:30:16.09
0.185kg - 2024-11-12 10:30:16.13
0.185kg - 2024-11-12 10:30:16.17
0.185kg - 2024-11-12 10:30:16.22
0.185kg - 2024-11-12 10:30:16.25
0.185kg - 2024-11-12 10:30:16.30
0.185kg - 2024-11-12 10:30:16.33
0.185kg - 2024-11-12 10:30:16.37
0.185kg - 2024-11-12 10:30:16.42
0.185kg - 2024-11-12 10:30:16.47
0.185kg - 2024-11-12 10:30:16.50
0.185kg - 2024-11-12 10:30:16.55
0.185kg - 2024-11-12 10:30:16.59
0.185kg - 2024-11-12 10:30:16.63
0.185kg - 2024-11-12 10:30:16.67
0.185kg - 2024-11-12 10:30:16.72
0.185kg - 2024-11-12 10:30:16.76
0.185kg - 2024-11-12 10:30:16.80
0.185kg - 2024-11-12 10:30:16.84
0.185kg - 2024-11-12 10:30:16.88
0.185kg - 2024-11-12 10:30:16.92
0.185kg - 2024-11-12 10:30:16.97
0.185kg - 2024-11-12 10:30:17.01
0.185kg - 2024-11-12 10:30:17.03
0.185kg - 2024-11-12 10:30:17.08
0.185kg - 2024-11-12 10:30:17.13
0.185kg - 2024-11-12 10:30:17.17
0.185kg - 2024-11-12 10:30:17.22
0.185kg - 2024-11-12 10:30:17.26
0.185kg - 2024-11-12 10:30:17.28
0.185kg - 2024-11-12 10:30:17.33
0.185kg - 2024-11-12 10:30:17.38
0.185kg - 2024-11-12 10:30:17.42
0.185kg - 2024-11-12 10:30:17.47
0.185kg - 2024-11-12 10:30:17.50
0.185kg - 2024-11-12 10:30:17.53
0.185kg - 2024-11-12 10:30:17.58
0.185kg - 2024-11-12 10:30:17.63
0.185kg - 2024-11-12 10:30:17.67
0.185kg - 2024-11-12 10:30:17.70
0.185kg - 2024-11-12 10:30:17.76
0.185kg - 2024-11-12 10:30:17.78
0.185kg - 2024-11-12 10:30:17.83
0.185kg - 2024-11-12 10:30:17.88
0.185kg - 2024-11-12 10:30:17.92
0.185kg - 2024-11-12 10:30:17.96
0.185kg - 2024-11-12 10:30:18.01
0.185kg - 2024-11-12 10:30:18.03
0.185kg - 2024-11-12 10:30:18.08
0.185kg - 2024-11-12 10:30:18.12
0.185kg - 2024-11-12 10:30:18.17
0.185kg - 2024-11-12 10:30:18.20
0.185kg - 2024-11-12 10:30:18.23
0.185kg - 2024-11-12 10:30:18.28
0.185kg - 2024-11-12 10:30:18.32
0.185kg - 2024-11-12 10:30:18.35
0.185kg - 2024-11-12 10:30:18.40
0.185kg - 2024-11-12 10:30:18.43
0.185kg - 2024-11-12 10:30:18.47
0.185kg - 2024-11-12 10:30:18.52
0.185kg - 2024-11-12 10:30:18.55
0.185kg - 2024-11-12 10:30:18.58
0.185kg - 2024-11-12 10:30:18.64
   1.695kg - 2024-11-12 10:30:18.68
   1.695kg - 2024-11-12 10:30:18.72
   1.695kg - 2024-11-12 10:30:18.76
   2.211kg - 2024-11-12 10:30:18.81
   2.211kg - 2024-11-12 10:30:18.83
   2.211kg - 2024-11-12 10:30:18.88
   2.211kg - 2024-11-12 10:30:18.92
   2.722kg - 2024-11-12 10:30:18.97
   2.722kg - 2024-11-12 10:30:19.01
   2.722kg - 2024-11-12 10:30:19.04
   3.228kg - 2024-11-12 10:30:19.09
   3.228kg - 2024-11-12 10:30:19.13
